Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1658850940,Process Proposal,0,0,0xd91ec22114897e5e68997f77a6182de3cb09ba9b,Grant Proposal: Season #1 GM Bus 🚌 💨,WXDAI,0,9990000000000000000000
1658361430,Process Proposal,0,0,0x68d36dcbdd7bbf206e27134f28103abe7cf972df,Renew ENS,WETH,0,23000000000000000
1657026970,Tokens Collected,,,,,WXDAI,3950000000000000000000,0
1654012375,Process Proposal,1,0,0x75b77cebf0b8c037259abce241f4dfd4f69123ab,"Creative [Part 2] - Milestone Funding ",WXDAI,0,5093000000000000000000
1654012325,Process Proposal,0,0,0xd91ec22114897e5e68997f77a6182de3cb09ba9b,FWC - Funding Proposal,WXDAI,0,9990000000000000000000
1653408325,Process Proposal,0,0,0x77d6ed0c175940ad3b5e3eddb3453ed138913089,MC Website V2 Implementation,WXDAI,0,10000000000000000000000
1652750310,Process Proposal,1,0,0x0ea26051f7657d59418da186137141cea90d0652,Grant Proposal: Kokonut Network,WXDAI,0,9990000000000000000000
1652199180,Process Proposal,0,0,0x23aa3040596fd1c60be0fc2f481258515c4aa1a7,Grant Proposal: Wgmi DAO for web3 Community Builders [$10k USDC],WXDAI,0,10000000000000000000000
1649087600,Tokens Collected,,,,,WXDAI,26471654941502615323899,0
1648966755,Process Proposal,1,0,0x986dd13ccab3b637032ebedd30ef8a7fea4d6184,Sprintcheckout,WXDAI,0,2490000000000000000000
1648134955,Process Proposal,0,0,0x756ede5f4d58b995b27ca1097e664cf81defc768,HEAT Proposal,WXDAI,0,9990000000000000000000
1648134720,Tokens Collected,,,,,WXDAI,10853867718776558427742,0
1647401100,Process Proposal,1,0,0x6b9724e8a8088de7d0cf375a3be88a97ab61d7a0,Ava (ARTXV) requesting a share,WXDAI,10000000000000000000,0
1646935180,Tokens Collected,,,,,WXDAI,25365197434108516531321,0
1646700880,Process Proposal,0,0,0xd91ec22114897e5e68997f77a6182de3cb09ba9b,"METACRON - Cartel Denver Event ",WETH,0,2500000000000000000
1646700880,Process Proposal,,,,,WXDAI,10000000000000000000,0
1645479345,Process Proposal,0,0,0x9f95c249027186429547316559f853917015f1e4,"4wETH to RaidGuild on RQ ",WETH,0,4000000000000000000
1645478615,Process Proposal,1,0,0xb6d052d6f5921d52c1c14b69a02de04f840cefcd,Wackerow requesting sweat share,WXDAI,10000000000000000000,0
1644365735,Process Proposal,1,0,0xab8a7848e9c6e22e52b5e3edf8e2b779727b17ad,Ryan / Autocrat Membership Proposal,WXDAI,10000000000000000000,0
1644195455,Process Proposal,0,0,0x9438201e791fb3b5ed830fb09ed42dda80a465e5,Sponsor MetaPod Launch Event + Pilot Program,WETH,0,8000000000000000000
1644195455,Process Proposal,,,,,WXDAI,10000000000000000000,0
1643063300,Process Proposal,0,0,0xab8a7848e9c6e22e52b5e3edf8e2b779727b17ad,"Tokenized Engagement ",WXDAI,0,2490000000000000000000
1643007465,Process Proposal,0,0,0x75b77cebf0b8c037259abce241f4dfd4f69123ab,[Updated] Part 1: Funding proposal for Creative,WETH,0,1561100000000000000
1643007465,Process Proposal,,,,,WXDAI,10000000000000000000,0
1642452930,Process Proposal,1,0,0x464e44c254588dbde8fe92aa7223dec92ed55a5b,1 share & WETH to Helmass for MetaMoloch proposal work,WETH,0,550000000000000000
1641235090,Process Proposal,1,0,0x1fde40a4046eda0ca0539dd6c77abf8933b94260,[Part 1] Funding proposal for Creative,WXDAI,10000000000000000000,0
1640650310,Process Proposal,1,0,0xf3476b36fc9942083049c04e9404516703369ef3,Contribute Winners Funding proposal,WETH,0,1350000000000000000
1640650310,Process Proposal,,,,,WXDAI,10000000000000000000,0
1640648920,Process Proposal,0,0,0x187089b33e5812310ed32a57f53b3fad0383a19d,Paladin/Astrology services in 2021,WETH,0,5000000000000000000
1640293505,Rage Quit,,,,,WETH,0,2280282729520365871
1640293505,Rage Quit,,,,,WXDAI,0,26875241439337602307
1639953095,Process Proposal,1,0,0x35b248d06bf280e17d8cbff63c56a58e52a936f1,louxuol main-address affected,WXDAI,10000000000000000000,0
1639945625,Process Proposal,0,0,0x1a8b457c0f4abff3a25c75efbaaf50b7e2020896,Yapeswap (corrected address),WETH,0,1110000000000000000
1639497370,Process Proposal,0,0,0xd91ec22114897e5e68997f77a6182de3cb09ba9b,MetaMoloch - M1 Proposal,WETH,0,8000000000000000000
1639490090,Process Proposal,1,0,0x914aa366fc6af1cef6d8b98dd24b2842e0d14c39,Jeremy - 1 Share - Paladin,WXDAI,10000000000000000000,0
1638411550,Tokens Collected,,,,,WXDAI,2000000000000000000,0
1637588875,Process Proposal,0,0,0x66b1de0f14a0ce971f7f248415063d44caf19398,"Paladins Budget Request ",WETH,0,12000000000000000000
1637569140,Process Proposal,0,0,0x66b1de0f14a0ce971f7f248415063d44caf19398,Funding Padawan Dashboard,WXDAI,0,5000000000000000000000
1637565475,Process Proposal,0,0,0xcff1d7623b840e675de4635dd556d51cb1831bb4,"Spice Bank: Treasury Proposal ",WETH,0,110000000000000000000
1636947907,Process Proposal,1,0,0x464e44c254588dbde8fe92aa7223dec92ed55a5b,Behind the Handle Funding Reqest,WXDAI,0,5000000000000000000000
1636129900,Tokens Collected,,,,,WXDAI,1000000000000000000,0
1634525935,Process Proposal,10,0,0xbec26ffa12c90217943d1b2958f60a821ae6e549,Jonathan Hillis membership proposal,WETH,10000000000000000000,0
1633930330,Process Proposal,0,0,0xd91ec22114897e5e68997f77a6182de3cb09ba9b,"MetaCamp - A DAO Summit ",WETH,0,5500000000000000000
1632761755,Process Proposal,0,0,0x73f19c4e5ffc335932afebf382def646f600e64a,Funding Proposal for Chili Community Manager,WXDAI,0,2000000000000000000000
1632761725,Process Proposal,5,0,0x8b3cfb1b901e3132dcba589b36e04a8dd1c98ae3,"Requesting membership at Metacartel ",WETH,5000000000000000000,0
1632167725,Process Proposal,0,0,0x66b1de0f14a0ce971f7f248415063d44caf19398,Funding Proposal: PoolWORKs,WETH,0,8000000000000000000
1630778910,Process Proposal,0,0,0x036c545ae4f68059b4c83f7e3814429d4c73c089,"Atlantis World - a pixel metaverse with token-gating, video calling, gamified DeFi + in-game DAO voting!",WXDAI,0,10000000000000000000000
1630425855,Process Proposal,1,0,0x6e36ae6b1eca3ba5aa5057c26dd1403a05be0273,Kerp Rejoin,WETH,334100000000000000,0
1629230020,Process Proposal,0,0,0x73f19c4e5ffc335932afebf382def646f600e64a,Funding Proposal for Chili Community Manager,WXDAI,0,4000000000000000000000
1629229975,Process Proposal,0,0,0xe5bfbcf93dace19ccdcd17450442c8070dde3534,Chili Token Launch,WXDAI,0,2000000000000000000000
1629081220,Process Proposal,0,0,0xc7f459c7edcf9333d223bd1c346f46819403ca06,MetaCartel Grants Offboarding,WXDAI,0,4000000000000000000000
1628886175,Rage Quit,,,,,WETH,0,334128154147687470
1628886175,Rage Quit,,,,,WXDAI,0,27131736681887366818
1628779730,Process Proposal,10,0,0x2b50d53c2d10954aea741ae61001c3fb77717e5e,Cryptnotiq Membership,WETH,10000000000000000000,0
1627366010,Process Proposal,0,0,0x8932eb23bad9bddb5cf81426f78279a53c6c3b71,Li.Finance - Cross-Chain Liquidity Network Aggregation,WXDAI,0,5000000000000000000000
1626221150,Process Proposal,0,0,0xba4e7997c2e4fbf7c77a3cefc61f6e2e435472cc,"$CHILI farm squad ",WXDAI,0,7500000000000000000000
1626106185,Process Proposal,0,0,0x0fb1529334998403b900fac7885f1cc863e5f6e3,[Funding Proposal] Paladin Distro + CHILI Ops,WXDAI,0,3600000000000000000
1626105990,Process Proposal,0,0,0xc7f459c7edcf9333d223bd1c346f46819403ca06,Money Mage - June 2021,WXDAI,0,4000000000000000000000
1624897720,Process Proposal,0,0,0x66b1de0f14a0ce971f7f248415063d44caf19398,"Cartel On-site Event  Budget ",WETH,0,4000000000000000000
1624897695,Process Proposal,0,0,0xd484386dbf7d656fa2363b89e10c89f928c09288,$ANIMAL CreatorToken,WXDAI,0,5000000000000000000000
1623638115,Process Proposal,0,0,0x33e55f4cf9e176c8f163056a3753ab502808c8e7,CommitPool Grant Proposal,WXDAI,0,6500000000000000000000
1623073255,Tokens Collected,,,,,WETH,433044394550061336268,0
1621889175,Tokens Collected,,,,,WXDAI,63654702000000000000000,0
