Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1658845480,Rage Quit,,,,,SWPR,0,2102470209810290569814
1658845480,Rage Quit,,,,,HAUS,0,126123375152220394351
1658845480,Rage Quit,,,,,DXS,0,39539
1658845480,Rage Quit,,,,,DXD,0,602421144668535936
1658845480,Rage Quit,,,,,WXDAI,0,328476110297528580
1657564810,Rage Quit,,,,,SWPR,0,2484737520684888855234
1657564810,Rage Quit,,,,,HAUS,0,149054897907169556960
1657564810,Rage Quit,,,,,DXS,0,46729
1657564810,Rage Quit,,,,,DXD,0,711952261880997015
1657564810,Rage Quit,,,,,WXDAI,0,388199039442533776
1651425190,Rage Quit,,,,,SWPR,0,191133655437299142710
1651425190,Rage Quit,,,,,HAUS,0,11465761377474581304
1651425190,Rage Quit,,,,,DXS,0,3594
1651425190,Rage Quit,,,,,DXD,0,54765558606230539
1651425190,Rage Quit,,,,,WXDAI,0,29861464572502598
1650634850,Rage Quit,,,,,SWPR,0,191133655437299142710
1650634850,Rage Quit,,,,,HAUS,0,11465761377474581304
1650634850,Rage Quit,,,,,DXS,0,3594
1650634850,Rage Quit,,,,,DXD,0,54765558606230539
1650634850,Rage Quit,,,,,WXDAI,0,29861464572502598
1650053145,Tokens Collected,,,,,HAUS,1619470000000000000000,0
1648586985,Tokens Collected,,,,,DXD,7735306559778420000,0
1648015495,Tokens Collected,,,,,SWPR,26996482028585880000000,0
1646173280,Rage Quit,,,,,SWPR,0,8798
1646173280,Rage Quit,,,,,HAUS,0,1539037
1646173280,Rage Quit,,,,,DXS,0,39539
1646173280,Rage Quit,,,,,DXD,0,494
1646173280,Rage Quit,,,,,WXDAI,0,328476110297528580
1641809515,Process Proposal,0,0,0xfde5c650569ffea6e16a37c8fbd91976d29ee88e,Redo sending DXD back to minion,DXD,0,7735306559778420000
1641231025,Process Proposal,0,0,0xfde5c650569ffea6e16a37c8fbd91976d29ee88e,Send HAUS back to MInion,HAUS,0,9121519641998500000000
1641230970,Process Proposal,0,0,0xfde5c650569ffea6e16a37c8fbd91976d29ee88e,Send Funds to MInion,DXS,0,1174422949762480000000
1640677945,Process Proposal,0,0,0xfde5c650569ffea6e16a37c8fbd91976d29ee88e,Move SWPR to Vault,SWPR,0,26996482028585880000000
1639969205,Tokens Collected,,,,,DXS,91463371522948132449,0
1639969190,Tokens Collected,,,,,SWPR,10162797006018081904445,0
1639969175,Tokens Collected,,,,,HAUS,710378607671715147611,0
