Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1657810675,Tokens Collected,,,,,WXDAI,500000000000000000000,0
1657648520,Process Proposal,0,0,0x74f06137115bc49fab53c622d1bd5f42d254ed0e,Client & Hunter Experience RIP (#89) — Phase 1 Completion,WXDAI,0,2950000000000000000000
1657048085,Tokens Collected,,,,,RAID,1000000000000000000000,0
1657048025,Tokens Collected,,,,,WXDAI,15889850000000000000000,0
1655399110,Rage Quit,,,,,RAID,0,8875284956840244870
1655399110,Rage Quit,,,,,UNI-V2,0,2004723971385564572
1655399110,Rage Quit,,,,,GTC,0,474614417483051151
1655399110,Rage Quit,,,,,WETH,0,49592581083240397
1655399110,Rage Quit,,,,,ROBOT,0,128091240424940357
1655399110,Rage Quit,,,,,NFTX,0,1001971974483997
1655399110,Rage Quit,,,,,GNO,0,12054937158383264
1655399110,Rage Quit,,,,,HAUS,0,83414166875792818
1655399110,Rage Quit,,,,,WXDAI,0,144761080120296502189
1653336010,Tokens Collected,,,,,WXDAI,965000000000000000000,0
1652823485,Tokens Collected,,,,,WXDAI,220000000000000000000,0
1652823415,Tokens Collected,,,,,GNO,8463677511746283535,0
1652823055,Process Proposal,0,0,0x68d36dcbdd7bbf206e27134f28103abe7cf972df,Swap STAKE for GNO,STAKE,0,259389110763860362205
1652823020,Tokens Collected,,,,,WXDAI,2600000000000000000000,0
1652822990,Tokens Collected,,,,,GNO,1044136662000000000,0
1652822095,Process Proposal,0,0,0x794f640f401691645241149420d822552e9bf844,"RIP#88 - Portfolio Uplift UX, Content and Requirements Phase",WXDAI,0,2400000000000000000000
1652369685,Tokens Collected,,,,,RAID,4000000000000000000000,0
1652369680,Tokens Collected,,,,,WXDAI,1995000000000000000000,0
1652332260,Process Proposal,100,0,0x986e92868a27548a31e88f7692e746cd7e86f39a,Membership Request for ApeironCreations,WXDAI,500000000000000000000,0
1652206265,Tokens Collected,,,,,WXDAI,3800600000000000000000,0
1652144500,Process Proposal,100,0,0x7434672e89b055fd02deebef203738cf0802c01b,jp4g member,WXDAI,500000000000000000000,0
1651708325,Tokens Collected,,,,,WXDAI,9850000000000000000000,0
1651498870,Process Proposal,100,0,0xda6d1f091b672c0f9e215eb9fa6b5a84bf2c5e11,Membership for flip,WXDAI,500000000000000000000,0
1651032350,Tokens Collected,,,,,WXDAI,10097500000000000000000,0
1650928305,Process Proposal,100,0,0x8760e565273b47195f76a22455ce0b68a11af5b5,Enter the Stargarden,WXDAI,500000000000000000000,0
1649898840,Process Proposal,0,0,0x2598f31027255fc4961babef4dcde1114d0d2ca8,ShillShop Systemization RIP - Phase 2 (launchninja),WXDAI,0,6000000000000000000000
1649898805,Process Proposal,0,0,0xf4b27acb9a65dcb2fbfe8fb44516b09ac1f39822,Cleric Fees (when apprentice),WXDAI,0,900000000000000000000
1649814355,Process Proposal,152,0,0xf4b27acb9a65dcb2fbfe8fb44516b09ac1f39822,Shares for GitCoin Comic Raid,GTC,72400000000000000000,0
1649699730,Process Proposal,0,0,0xbf42c05bd8302a4d2efd0cdf66fc33d8123887bf,Lillet Consult,WXDAI,0,500000000000000000000
1649345285,Tokens Collected,,,,,RAID,500000000000000000000,0
1649345245,Tokens Collected,,,,,WXDAI,1952500000000000000000,0
1649177440,Tokens Collected,,,,,RAID,2000000000000000000000,0
1649177230,Tokens Collected,,,,,WXDAI,884000000000000000000,0
1649176875,Process Proposal,100,0,0xe22158765f79d344400adee7d71a04522fde46ce,degeneroach membership proposal,WXDAI,550000000000000000000,0
1648679985,Process Proposal,100,0,0x10ecaac69db158f4eb56d5dbc3fbc16ea125890d,"Govinda joins the Guild! ",WXDAI,500000000000000000000,0
1648679910,Process Proposal,100,0,0x68d36dcbdd7bbf206e27134f28103abe7cf972df,MF raid tribute,ROBOT,8770000000000000000,0
1648679850,Process Proposal,0,0,0x537764c97c6052ff10e41814efb77060a1ed283a,Design System Build,WXDAI,0,8000000000000000000000
