Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1655398860,Rage Quit,,,,,RAID,0,6623149394347240915208
1655398860,Rage Quit,,,,,WXDAI,0,169441156411380023033
1643645750,Tokens Collected,,,,,RAID,333000000000000000000000,0
1643470955,Process Proposal,0,0,0x4ce51143a0dfac3500b661738851da9e03e5202f,Milestone 1 - 1/2 Funds - Redo,WXDAI,0,10900000000000000000000
1643150385,Tokens Collected,,,,,WXDAI,10900000000000000000000,0
1643137715,Process Proposal,0,0,0x4ce51143a0dfac3500b661738851da9e03e5202f,Milestone 1 - 1/2 Funds,WXDAI,0,10900000000000000000000
1642634390,Rage Quit,,,,,WXDAI,0,580804414113547262959
1642630355,Tokens Collected,,,,,WXDAI,300000000000000000000,0
1642629645,Tokens Collected,,,,,WXDAI,1000000000000000000000,0
1642628180,Tokens Collected,,,,,WXDAI,300000000000000000000,0
1642621300,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642620165,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642614475,Tokens Collected,,,,,WXDAI,200000000000000000000,0
1642613100,Tokens Collected,,,,,WXDAI,2500000000000000000000,0
1642612085,Tokens Collected,,,,,WXDAI,200000000000000000000,0
1642612015,Tokens Collected,,,,,WXDAI,200000000000000000000,0
1642611500,Tokens Collected,,,,,WXDAI,200000000000000000000,0
1642552125,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642545835,Tokens Collected,,,,,WXDAI,3000000000000000000000,0
1642542220,Tokens Collected,,,,,WXDAI,3000000000000000000000,0
1642533760,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642533205,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642525774,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642524335,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642522460,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642522150,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642499790,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642467000,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642454310,Tokens Collected,,,,,WXDAI,300000000000000000000,0
1642448660,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642437975,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642303125,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642199865,Tokens Collected,,,,,WXDAI,200000000000000000000,0
1642197080,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642196685,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642181070,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642135035,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642122335,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642110545,Tokens Collected,,,,,WXDAI,300000000000000000000,0
1642107280,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642104530,Tokens Collected,,,,,WXDAI,400000000000000000000,0
1642104165,Tokens Collected,,,,,WXDAI,400000000000000000000,0
1642099955,Tokens Collected,,,,,WXDAI,500000000000000000000,0
1642096590,Tokens Collected,,,,,WXDAI,500000000000000000000,0
1642095925,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642095780,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642095655,Tokens Collected,,,,,WXDAI,1000000000000000000000,0
1642095450,Tokens Collected,,,,,WXDAI,400000000000000000000,0
1642095130,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642094510,Tokens Collected,,,,,WXDAI,200000000000000000000,0
1642094470,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642094055,Tokens Collected,,,,,WXDAI,300000000000000000000,0
1642094020,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642093830,Tokens Collected,,,,,WXDAI,300000000000000000000,0
1642093815,Tokens Collected,,,,,WXDAI,300000000000000000000,0
1642093630,Tokens Collected,,,,,WXDAI,200000000000000000000,0
1642093520,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642093500,Tokens Collected,,,,,WXDAI,500000000000000000000,0
1642093430,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642093405,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642093390,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642093375,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642093310,Tokens Collected,,,,,WXDAI,100000000000000000000,0
1642093280,Tokens Collected,,,,,WXDAI,200000000000000000000,0
