Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1659404806,Rage Quit,,,,,WETH,0,6.288783
1659404806,Rage Quit,,,,,HAUS,0,1831.220852
1657028487,Tokens Collected,,,,,HAUS,50000.0,0
1655696981,Process Proposal,0,0,0x1c05376bc22170ce4f72018be6046185238604b8,Transmutation 2,WETH,0,250.0
1652330464,Rage Quit,,,,,WETH,0,2.612863
1652330464,Rage Quit,,,,,HAUS,0,127.738391
1649758590,Rage Quit,,,,,WETH,0,1.306431
1649758590,Rage Quit,,,,,HAUS,0,63.869195
1648823337,Rage Quit,,,,,WETH,0,0.653215
1648823337,Rage Quit,,,,,HAUS,0,31.934597
1646747713,Tokens Collected,,,,,HAUS,25000.0,0
1646746910,Process Proposal,0,0,0x1c05376bc22170ce4f72018be6046185238604b8,Transmutation 1,WETH,0,250.0
1646746801,Process Proposal,0,35.0,0x10ec4c6a7513f24c658d29f7b7b8d5963dd38d82,Special case Proposal - Round Pegs (Alex Masmej) DAOHaus CCO Contribution,WETH,35.0000,0
1646261331,Process Proposal,10,0,0x72e1638bd8cd371bfb04cf665b749a0e4ae38324,Shares for Stephen Reid,WETH,0.1,0
1645833458,Tokens Collected,,,,,WETH,10.0,0
1645833266,Tokens Collected,,,,,WETH,1.0,0
1645831625,Tokens Collected,,,,,WETH,1.0,0
1645831539,Tokens Collected,,,,,WETH,1.0,0
1645830216,Tokens Collected,,,,,WETH,36.0,0
1645829384,Tokens Collected,,,,,WETH,10.0,0
1645828868,Tokens Collected,,,,,WETH,6.0,0
1645826245,Tokens Collected,,,,,WETH,1.0,0
1645825922,Tokens Collected,,,,,WETH,15.0,0
1645825717,Tokens Collected,,,,,WETH,1.0,0
1645824021,Tokens Collected,,,,,WETH,1.0,0
1645822416,Tokens Collected,,,,,WETH,10.0,0
1645821714,Tokens Collected,,,,,WETH,1.0,0
1645821638,Tokens Collected,,,,,WETH,1.0,0
1645821064,Tokens Collected,,,,,WETH,20.0,0
1645815468,Tokens Collected,,,,,WETH,2.0,0
1645813806,Tokens Collected,,,,,WETH,10.0,0
1645812269,Tokens Collected,,,,,WETH,1.0,0
1645805622,Tokens Collected,,,,,WETH,19.0,0
1645771117,Tokens Collected,,,,,WETH,1.0,0
1645770079,Tokens Collected,,,,,WETH,1.0,0
1645766030,Tokens Collected,,,,,WETH,5.0,0
1645760485,Tokens Collected,,,,,WETH,2.0,0
1645753223,Tokens Collected,,,,,WETH,1.0,0
1645752489,Tokens Collected,,,,,WETH,7.0000,0
1645751500,Tokens Collected,,,,,WETH,2.0000,0
1645750147,Tokens Collected,,,,,WETH,1.0000,0
1645747804,Tokens Collected,,,,,WETH,1.0000,0
1645743394,Tokens Collected,,,,,WETH,1.0000,0
1645728986,Tokens Collected,,,,,WETH,10.0000,0
1645725401,Tokens Collected,,,,,WETH,1.0000,0
1645721402,Tokens Collected,,,,,WETH,1.0000,0
1645707751,Tokens Collected,,,,,WETH,1.0000,0
1645694868,Tokens Collected,,,,,WETH,2.0000,0
1645674646,Tokens Collected,,,,,WETH,1.0000,0
1645671847,Tokens Collected,,,,,WETH,50.0000,0
1645667588,Tokens Collected,,,,,WETH,1.0000,0
