Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1657188984,Process Proposal,1,0,0x64012964c5646cb80de60fb337ae69d9c22e102c,Anonymous application for funding-0707,USDC,0,200000.0
1656939703,Process Proposal,1,0,0xc0a6e2f67adc23d918af5df7e124374d1df601ca,Chicken application for funding-0704,USDC,0,100000.0
1654069568,Process Proposal,1,0,0xe1aaaa7388689e80d30ef8fb175d381efe8e72e3,mumu Apply for funding0531,USDC,0,100000.0
1653616429,Process Proposal,1,0,0x5d2586d9aa916a81b6443640849a70135bfa0e85,Rega turn back DAOhaus,USDC,50000.0,0
1653285195,Process Proposal,1,0,0xe478e30af5e4bf664af7fdc67321c935953cec79,Jiang Hao applied for funding0523,USDC,0,100000.0
1652191963,Process Proposal,1,0,0x614e1bbffb5d1dc13402d1a8453b408373a06114,Application gas fee and second quarter operating expenses,USDC,0,12501.9
1652096994,Process Proposal,1,0,0x5d2586d9aa916a81b6443640849a70135bfa0e85,ruijia Withdrawal Application 0509,USDC,0,50000.0
1652096963,Process Proposal,1,0,0x27fd35e28f09748ee5ef2d46545af567a150197c,Typto Withdrawal 0509,USDC,0,100000.0
1652092905,Process Proposal,1,0,0x2eb174253b5102f47430ad22b3fbb2e9c1c5ccd6,DEFIGOD Apply for funding 0509,USDC,0,100000.0
1651667833,Process Proposal,1,0,0x90dd9d99770fbdf2dea5cf367861e5eb41cfd222,EliadeApply for funding0504,USDC,0,100000.0
1649778861,Process Proposal,1,0,0x9fa004fd166aeb14076b4af8f64dbba29e6553d6,Pan Apply for funding-0412,USDC,0,100000.0
1648816285,Process Proposal,0,0,0x56afd521f4d540ee2b9f47eab0ae19338da537c8,Andy Tokens collected DAOHAUS-0401(2),USDC,920833.624149,0
1648730210,Process Proposal,0,0,0x56afd521f4d540ee2b9f47eab0ae19338da537c8,Andy okens collected  DAOHAUS-0331(1),USDC,5.0,0
1648730142,Process Proposal,0,0,0xe39405b5d7849a1572382fb02e5e39db7a42410b,empty,USDC,1.0,0
1648602533,Process Proposal,100000,0,0x339cc1c8c255400c5d0eb3ecb776f17708dd0af5,,USDC,100000.0,0
1647747565,Process Proposal,1,0,0x1e40241ec474441271a11fbf940361c5940addb5,Martin 0319,USDC,0,100000.0
1647359291,Process Proposal,1,0,0xe39405b5d7849a1572382fb02e5e39db7a42410b,member0314,USDC,0,1.0
1646045973,Process Proposal,0,0,0x8a473efb809b1c9ea7a4dd5cdd498e1fac54da14,withdraw gmac,GMAC,0,400000
1646034558,Process Proposal,1,0,0x332b0df38b0d4668940695133116db046aeb69d6,menmber,USDC,0,1.0
1646034463,Process Proposal,1,0,0x614e1bbffb5d1dc13402d1a8453b408373a06114,11-3,USDC,0,11248.0
1645602156,Process Proposal,1,0,0xdfae8b48667740d4c78724adc7317da923ff06ab,empty,USDC,0,100000.0
