Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1659499695,Process Proposal,200,0,0xa8cadc2268b01395f8573682fb9dd00bd582e8a0,Rowdy Warcamp Membership Proposal,HAUS,20.0,0
1658939315,Process Proposal,150,0,0x67243d6c3c3bdc2f59d2f74ba1949a02973a529d,Boilerrat(Chris) STakE FOr jUNe,HAUS,15.0,0
1658938715,Process Proposal,402,0,0x625bba96cc5c0d6b506597609b64f1d3672d82dc,Helle - Stake for Shares May-June 2022,HAUS,40.2,0
1658938670,Process Proposal,556,0,0x15c6ac4cf1b5e49c44332fb0a1043ccab19db80a,Spencer Stake for Shares - June 2022,HAUS,55.6,0
1658938510,Process Proposal,401,0,0x83ab8e31df35aa3281d630529c6f4bf5ac7f7abf,Sam - Stake for Shares June 2022,HAUS,40.1,0
1658938455,Process Proposal,474,0,0xced608aa29bb92185d9b6340adcbfa263dae075b,Dekanbro - Stake for Shares June 2022,HAUS,47.4,0
1658859490,Process Proposal,336,0,0xb0d2b32aef17d71e13e358898fe2d7458a84998b,adrienne Stake for Shares - June '22,HAUS,33.6,0
1658859130,Process Proposal,394,0,0xbc5b552641e5d203f0a6c230aa9dc14da7450053,earth2travis Stake for Shares - June '22,HAUS,39.4,0
1658858995,Process Proposal,232,0,0x2619c649d98ddddbb0b218823354fe1d41bf5ce0,TW - Stake for Shares June 2022,HAUS,23.2,0
1658858925,Process Proposal,259,0,0x27773b203954fbbb3e98dfa1a85a99e1c2f40f56,UI369 Stake for Shares - June 2022,HAUS,25.9,0
1658858400,Process Proposal,200,0,0xd1d8e452a864388280b714537cbead6ff9e28530,Membership for plor,HAUS,20.0,0
1655986850,Process Proposal,283,0,0x0b5f5a722ac5e8ecedf4da39a656fe5f1e76b34c,JP Stake for Shares - May 2022,HAUS,28.3,0
1655986775,Process Proposal,262,0,0x27773b203954fbbb3e98dfa1a85a99e1c2f40f56,UI369 Stake for Shares - May 2022,HAUS,26.2,0
1655742400,Process Proposal,101,0,0x67243d6c3c3bdc2f59d2f74ba1949a02973a529d,Boilerrat Stake for May,HAUS,10.1,0
1655741685,Process Proposal,132,0,0xe04885c3f1419c6e8495c33bdcf5f8387cd88846,Sky Stake for Shares - May 2022,HAUS,13.2,0
1655404520,Process Proposal,457,0,0xbc5b552641e5d203f0a6c230aa9dc14da7450053,earth2travis Stake for Shares - May 2022,HAUS,45.7,0
1655348475,Process Proposal,356,0,0xced608aa29bb92185d9b6340adcbfa263dae075b,Dekan Stake for Shares - May 2022,HAUS,35.6,0
1655348430,Process Proposal,206,0,0x3f46d5c350959361d9cfe71c03ddb3caa3cc93b4,ceresbzns stake for shares - May '22,HAUS,20.6,0
1655348385,Process Proposal,140,0,0x224aba5d489675a7bd3ce07786fada466b46fa0f,Santiago Stake for Shares - May 2022,HAUS,14.0,0
1655348330,Process Proposal,356,0,0xb0d2b32aef17d71e13e358898fe2d7458a84998b,Adrienne Stake for Shares - May 2022,HAUS,35.6,0
1655233275,Process Proposal,390,0,0x83ab8e31df35aa3281d630529c6f4bf5ac7f7abf,SK stake for shares - may 2022,HAUS,39.0,0
1655230420,Process Proposal,317,0,0x914aa366fc6af1cef6d8b98dd24b2842e0d14c39,Jeremy Stake for Shares - May 2022,HAUS,31.7,0
1655230385,Process Proposal,335,0,0x2619c649d98ddddbb0b218823354fe1d41bf5ce0,TW -Stake for Shares May 2022,HAUS,33.5,0
1655230305,Process Proposal,402,0,0x15c6ac4cf1b5e49c44332fb0a1043ccab19db80a,Spencer Stake for Shares - May 2022,HAUS,40.2,0
1653971465,Process Proposal,100,0,0x27773b203954fbbb3e98dfa1a85a99e1c2f40f56,UI369 Stake for Shares - March 2022,HAUS,10.0,0
1653758155,Process Proposal,506,0,0x625bba96cc5c0d6b506597609b64f1d3672d82dc,Helle Stake for Shares March-April 2022,HAUS,50.6,0
1653757190,Process Proposal,304,0,0x0b5f5a722ac5e8ecedf4da39a656fe5f1e76b34c,JP Stake for Shares - April 2022,HAUS,30.4,0
1653104470,Process Proposal,195,0,0x27773b203954fbbb3e98dfa1a85a99e1c2f40f56,UI369 Stake for Shares - April 2022,HAUS,19.5,0
1653075490,Process Proposal,63,0,0x67243d6c3c3bdc2f59d2f74ba1949a02973a529d,Boilerrat Stake for April (This time with haus tokens),HAUS,6.3,0
1653054650,Process Proposal,270,0,0x224aba5d489675a7bd3ce07786fada466b46fa0f,Santiago Stake for Shares - April 2022,HAUS,27.0,0
1653054615,Process Proposal,266,0,0x3f46d5c350959361d9cfe71c03ddb3caa3cc93b4,ceresbzns stake for shares - April '22,HAUS,26.6,0
1652971895,Process Proposal,470,0,0xced608aa29bb92185d9b6340adcbfa263dae075b,Dekan,HAUS,47.7,0
1652971855,Process Proposal,337,0,0x2619c649d98ddddbb0b218823354fe1d41bf5ce0,TW Stake for Shares - April 2022,HAUS,33.7,0
1652971815,Process Proposal,187,0,0x914aa366fc6af1cef6d8b98dd24b2842e0d14c39,Jeremy Stake for Shares - April 2022,HAUS,18.7,0
1652912035,Process Proposal,271,0,0x0fef92a34ecf1f742b01c9e3cb2732a83c6067b6,Bau Stake for Shares,HAUS,27.1,0
1652911955,Process Proposal,421,0,0xbc5b552641e5d203f0a6c230aa9dc14da7450053,earth2travis Stake for Shares - April 2022,HAUS,42.1,0
1652903130,Process Proposal,330,0,0xb0d2b32aef17d71e13e358898fe2d7458a84998b,Adrienne Stake for Shares - April 2022,HAUS,33.0,0
1652903090,Process Proposal,475,0,0x15c6ac4cf1b5e49c44332fb0a1043ccab19db80a,Spencer Stake for Shares - April 2022,HAUS,47.5,0
1650921275,Process Proposal,127,0,0x914aa366fc6af1cef6d8b98dd24b2842e0d14c39,Jeremy Stake for Shares - March 2022,HAUS,12.7,0
1650921125,Process Proposal,314,0,0x0fef92a34ecf1f742b01c9e3cb2732a83c6067b6,Bau Stake for Shares - March 2022,HAUS,31.4,0
1650921070,Process Proposal,320,0,0x0b5f5a722ac5e8ecedf4da39a656fe5f1e76b34c,JP Stake for Shares - March 2022,HAUS,32.0,0
1650128825,Process Proposal,380,0,0x83ab8e31df35aa3281d630529c6f4bf5ac7f7abf,Sam Stake for Shares Mar 2022,HAUS,38.0,0
1650128795,Process Proposal,272,0,0x3f46d5c350959361d9cfe71c03ddb3caa3cc93b4,ceresbzns stake for shares - March '22,HAUS,27.2,0
1650128740,Process Proposal,80,0,0x67243d6c3c3bdc2f59d2f74ba1949a02973a529d,Boilerrat STake for Share March 22,HAUS,8.0,0
