Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1651008455,Rage Quit,,,,,HAUS,0,1.180463
1651008455,Rage Quit,,,,,WXDAI,0,351.400997
1650537960,Rage Quit,,,,,HAUS,0,0.196743
1650537960,Rage Quit,,,,,WXDAI,0,58.566832
1649454990,Tokens Collected,,,,,HAUS,60.0,0
1645142220,Rage Quit,,,,,WXDAI,0,29.283416
1645070535,Tokens Collected,,,,,WXDAI,666.0,0
1645063680,Tokens Collected,,,,,WXDAI,55.6,0
1645063295,Tokens Collected,,,,,WXDAI,55.6,0
1645062930,Tokens Collected,,,,,WXDAI,55.6,0
1645062595,Tokens Collected,,,,,WXDAI,27.75,0
1645060650,Tokens Collected,,,,,WXDAI,83.25,0
1645054700,Tokens Collected,,,,,WXDAI,55.6,0
1645043685,Tokens Collected,,,,,WXDAI,55.6,0
1645039445,Tokens Collected,,,,,WXDAI,83.25,0
1645035320,Tokens Collected,,,,,WXDAI,83.25,0
1645034070,Tokens Collected,,,,,WXDAI,27.75,0
1645033200,Tokens Collected,,,,,WXDAI,55.6,0
1644974170,Tokens Collected,,,,,WXDAI,83.25,0
1644960510,Tokens Collected,,,,,WXDAI,55.6,0
1644793740,Tokens Collected,,,,,WXDAI,666.0,0
1644774810,Tokens Collected,,,,,WXDAI,55.6,0
1644720380,Tokens Collected,,,,,WXDAI,582.75,0
1644720245,Tokens Collected,,,,,WXDAI,27.75,0
1644712705,Tokens Collected,,,,,WXDAI,55.6,0
1644528880,Process Proposal,0,0,0x8e81513b10f1ad59c37c4e41a99d83257024ec56,Budget Payout Round 1,WXDAI,0,15008.0
1643754740,Rage Quit,,,,,WXDAI,0,901.382376
1643730505,Tokens Collected,,,,,WXDAI,55.6,0
1643728420,Tokens Collected,,,,,WXDAI,83.25,0
1643708645,Tokens Collected,,,,,WXDAI,666.0,0
1643697380,Tokens Collected,,,,,WXDAI,582.75,0
1643691320,Tokens Collected,,,,,WXDAI,55.60,0
1643678070,Tokens Collected,,,,,WXDAI,499.5,0
1643676070,Tokens Collected,,,,,WXDAI,666.0,0
1643668530,Tokens Collected,,,,,WXDAI,666.0,0
1643666300,Tokens Collected,,,,,WXDAI,333.0,0
1643666010,Tokens Collected,,,,,WXDAI,27.75,0
