Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1655328526,Rage Quit,,,,,WETH,0,219.171045
1649373353,Rage Quit,,,,,WETH,0,170.523265
1646083855,Rage Quit,,,,,WETH,0,57.362566
1645061374,Process Proposal,0,0,0x2d81713c58452c92c19b2917e1c770eecf53fe41,,WETH,0,562.923
1643837909,Process Proposal,0,0,0x2d81713c58452c92c19b2917e1c770eecf53fe41,,WETH,0,764.2902
1641995951,Rage Quit,,,,,WETH,0,70.713843
1639959943,Rage Quit,,,,,WETH,0,70.713843
1631025955,Rage Quit,,,,,WETH,0,73.382289
1630841656,Rage Quit,,,,,WETH,0,73.382289
1629908147,Rage Quit,,,,,WETH,0,73.382289
1629555973,Rage Quit,,,,,WETH,0,113.945375
1622590945,Process Proposal,100000,0,0x6a94c2b62f79cb301a720e5fdbeadd5f60260a04,,WETH,310.0,0
1617270506,Process Proposal,100000,0,0x9600a9156f048b78f6a6622068961dc2188b5462,,WETH,310.0,0
1616052153,Process Proposal,100000,0,0xe015c0d33389e5f0382cceec817cc3032ede113d,,WETH,310.0,0
1615436496,Process Proposal,100000,0,0x66d0aebbb43f867def1c2b9eec0d602e7d456b08,,WETH,310.0,0
1615436389,Process Proposal,100000,0,0xae92ef09313a6229b51e90507b9ef40ec35101a2,,WETH,310.0,0
1615436209,Process Proposal,100000,0,0xe83c750b2708320bb134796c555b80df39a3d97b,,WETH,278.579813,0
1613133451,Process Proposal,100000,0,0x082275c1fec5e8ec22b611bcb41a130d556b2151,,WETH,310.0,0
1611845897,Process Proposal,100000,0,0xb89df9952995b8b53fbd284c114e7862aa8b8d86,,WETH,310.0,0
1611845273,Process Proposal,200000,0,0xd24ff5e32de12be154b1c2ee7b731cbc45540e50,,WETH,101.377475,0
1609874600,Process Proposal,100000,0,0x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,,WETH,310.0,0
1609276634,Process Proposal,100000,0,0x2d2d2a1f9bfda0d2364b4d517f862e52fefc2703,,WETH,285.162513,0
1604665196,Rage Quit,,,,,WETH,0,101.377475
1604305258,Process Proposal,0,0,0x2d81713c58452c92c19b2917e1c770eecf53fe41,,WETH,0,666.9929
1602754766,Process Proposal,0,0,0x4816002145ed229fa979f4e81344270560f3d6a7,,WETH,0,280.0728
1602579230,Process Proposal,0,0,0x2d81713c58452c92c19b2917e1c770eecf53fe41,,WETH,0,1712.349
1602247186,Process Proposal,0,0,0x4a775b2b650dc1e2f07567465b6a70fc04909953,,WETH,0,61.5349
1602247097,Process Proposal,0,0,0xdca17eedc1aa3dbb14361678566b2da5a1bb4c31,,WETH,0,155.0388
1601810373,Process Proposal,0,0,0xe7e2fd261abb2cd69a0796db63e76b14b368a033,,WETH,0,130.1454
1601389390,Process Proposal,0,0,0xd6d4bcde6c816f17889f1dd3000af0261b03a196,,WETH,0,264.1659
1601363657,Process Proposal,0,0,0x269b715edde8d5f9961cb627931f91dab4866f5f,,WETH,0,52.8806
1600848371,Process Proposal,0,0,0xe4e69ef860d3018b61a25134d60678be8628f780,,WETH,0,142.9021
1600848342,Process Proposal,0,0,0x98c68c8e48560fc552dc22cc2955a50e4ee51dc4,,WETH,0,128.783
1600280626,Process Proposal,0,0,0x7ea598f29812673975334c1445ae5c9158b66cb8,,WETH,0,123.1841
1600260688,Process Proposal,0,0,0x4a775b2b650dc1e2f07567465b6a70fc04909953,,WETH,0,618.5057
1599553875,Process Proposal,0,0,0x549b33cb1a3d851f2039d19264f76df3612cfbd7,,WETH,0,137.157107
1599553720,Process Proposal,0,0,0xf801da36ccde9e3914f60d3974144e24a5012e53,,WETH,0,34.8293
1599124477,Process Proposal,100000,0,0xd310a932cb1db29cdeff5a7b6fc34ac7b4f0ed8c,,WETH,129.32,0
1599123463,Process Proposal,100000,0,0x7b3b6bbf86aafcf4c4863ce694a512f4b620c796,,WETH,129.32,0
1599123364,Process Proposal,100000,0,0xa83c572c8072f3b11562f08b89d4f3077682acdb,,WETH,129.32,0
1599123128,Process Proposal,100000,0,0x3d2db55e5dcdfb4ea7b2180f3f7bfe8255a8df49,,WETH,129.32,0
1599122794,Process Proposal,100000,0,0x0033aade458d0b39ce0b1ba2581859f2d5855555,,WETH,129.32,0
1599122034,Process Proposal,100000,0,0x407d1349a1179472c29dc58431ce9bfca3f5fecd,,WETH,129.32,0
1599121363,Process Proposal,100000,0,0x1b10dc8e54007ac01fd522745e03073ef2f10b22,,WETH,129.32,0
1599115624,Process Proposal,100000,0,0xa0f75491720835b36edc92d06ddc468d201e9b73,,WETH,129.32,0
1599115565,Process Proposal,100000,0,0x638106098f46f8eded646e86bb288c7d19cd6d67,,WETH,129.32,0
1598896603,Process Proposal,200000,0,0xc3856d975e400f7f82391fdf652885edcdb6d116,,WETH,258.64,0
1598600716,Process Proposal,200000,0,0xc4b000efc4c5622aa43065190bbf4b3ae133fd3f,,WETH,258.64,0
1598600667,Process Proposal,100000,0,0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68,,WETH,129.32,0
1598600639,Process Proposal,200000,0,0x2debdf4427ccbcfdbc7f29d63964499a0ec184f6,,WETH,258.64,0
1598600541,Process Proposal,100000,0,0x21a1f8c3eaae5014c9564ab77a1b2a207c9e4631,,WETH,129.32,0
1598536785,Process Proposal,100000,0,0x6ad05aa9d4d1e619e8202a78956ae96efc4110b6,,WETH,129.32,0
1598536751,Process Proposal,100000,0,0xc4b000efc4c5622aa43065190bbf4b3ae133fd3f,,WETH,129.32,0
1598535286,Process Proposal,0,0,0x98ea2d8438f70ce876c2db26fc494cfed10b4cd7,,WETH,0,132.3837
1598532233,Process Proposal,0,0,0x8ec0134f574fb256e23775b019a728f2a0e2b4c3,,WETH,0,64.8088
1598452427,Process Proposal,200000,0,0x4727e9e3bc4f59f82304abbd683087d41c975263,,WETH,64.8088,0
1598452392,Process Proposal,200000,0,0x891bad61014e35395474a260b58bb6df4fd8991b,,WETH,64.8088,0
1598452291,Process Proposal,100000,0,0x750c31d2290c456fcca1c659b6add80e7a88f881,,WETH,120.0,0
1598452189,Process Proposal,100000,0,0xbe255852c4301d6392fb1d65003b7a0e0ef6e6b0,,WETH,120.0,0
1598452165,Process Proposal,100000,0,0xd6f28bd94d1edefdf8fde8f6f10094fef7e590c0,,WETH,120.0,0
1598452127,Process Proposal,100000,0,0x292d76ef68931cda7c2fb2b580df263dca3d9b9b,,WETH,120.0,0
1598253077,Process Proposal,200000,0,0xa2e3bdae9569c89b13cd4407a87fd063253b84f8,,WETH,64.8088,0
1598253051,Process Proposal,200000,0,0xa2e3bdae9569c89b13cd4407a87fd063253b84f8,,WETH,64.8088,0
1598252987,Process Proposal,400000,0,0xf8a685702347377e396486967399f33c6c0c0a29,,WETH,480.0,0
1598252895,Process Proposal,100000,0,0x5d76a92b7cb9e1a81b8eb8c16468f1155b2f64f4,,WETH,120.0,0
1598251494,Process Proposal,0,0,0x43a5c1331375f1f34bd774ecaee51501e9ca2db5,,WETH,0,213.8671
1598251456,Process Proposal,0,0,0x06601571aa9d3e8f5f7cdd5b993192618964bab5,,WETH,0,125.1878
1597864710,Process Proposal,0,0,0x0efe994201e2b0136dd40d5033b5f437e4c5f958,,WETH,0,154.4108
1597669460,Process Proposal,0,0,0xde6ab16a4015c680daab58021815d09ddb57db8e,,WETH,0,103.8772
1597646979,Process Proposal,100000,0,0xd890b3d16e868aa709dee581c7db0dce651e6f4d,,WETH,120.0,0
1597476280,Process Proposal,100000,0,0x407d1349a1179472c29dc58431ce9bfca3f5fecd,,WETH,120.0,0
1597475897,Process Proposal,100000,0,0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68,,WETH,120.0,0
1597408059,Process Proposal,0,0,0x8b3765eda5207fb21690874b722ae276b96260e0,,WETH,0,147.915
1597394557,Process Proposal,200000,0,0xf5fb27b912d987b5b6e02a1b1be0c1f0740e2c6f,,WETH,64.8088,0
1597394203,Process Proposal,100000,0,0x891bad61014e35395474a260b58bb6df4fd8991b,,WETH,120.0,0
1597388540,Process Proposal,200000,0,0xa2e3bdae9569c89b13cd4407a87fd063253b84f8,,WETH,240.0,0
1597343006,Process Proposal,100000,0,0x638106098f46f8eded646e86bb288c7d19cd6d67,,WETH,120.0,0
1597342873,Process Proposal,100000,0,0x8c991297440a79358bd864902e704ecc815eac81,,WETH,120.0,0
1597234381,Process Proposal,100000,0,0xa2e3bdae9569c89b13cd4407a87fd063253b84f8,,WETH,96.367905,0
1597133559,Process Proposal,200000,0,0x4727e9e3bc4f59f82304abbd683087d41c975263,,WETH,240.0,0
1597133523,Process Proposal,100000,0,0x292d76ef68931cda7c2fb2b580df263dca3d9b9b,,WETH,120.0,0
1597133462,Process Proposal,200000,0,0xf8a685702347377e396486967399f33c6c0c0a29,,WETH,240.0,0
1597133381,Process Proposal,100000,0,0xd6f28bd94d1edefdf8fde8f6f10094fef7e590c0,,WETH,120.0,0
1596700044,Process Proposal,200000,0,0x85c7199b5a36e87956cca466233de6710e849d6d,,WETH,240.0,0
1596699826,Process Proposal,100000,0,0xa5a35f3ba4f0e4c74669e17491c6681a7108dd33,,WETH,120.0,0
1596643089,Process Proposal,0,0,0x9a2b676266ef3710e0271a93a1b4b9ef57a8b45f,,WETH,0,210.8104
1596643008,Process Proposal,0,0,0x653ee91f819e53ab78df3dbcf8099fe57bc8c726,,WETH,0,210.5175
1596643001,Process Proposal,0,0,0x370de8e14fd6f054b17220a3882bef2960a159f3,,WETH,0,211.5389
1596642861,Process Proposal,0,0,0xa23754e9f9c5be3fe68336c7e2f81ced34539819,,WETH,0,214.4665
1596177973,Process Proposal,100000,0,0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68,,WETH,120.0,0
1596135148,Process Proposal,100000,0,0x830ee29452f01ae4302bdde2ec6411604634e006,,WETH,120.0,0
1596135055,Process Proposal,0,0,0x2f88b73f90ae3896b5c73c8e10b17424b2058efd,,WETH,0,207.3226
1596111554,Process Proposal,200000,0,0x607dbcc8f8a502493fad2ead62e21c8fcc2e23c5,,WETH,240.0,0
1596109676,Process Proposal,0,0,0x6bec3b5738851d84f903e5b34aa2e2722f76564d,,WETH,0,220.6434
1595137891,Process Proposal,100000,0,0x407d1349a1179472c29dc58431ce9bfca3f5fecd,,WETH,120.0,0
1594798048,Process Proposal,100000,0,0x85c7199b5a36e87956cca466233de6710e849d6d,,WETH,120.0,0
1594797837,Process Proposal,100000,0,0x5c8238ca05ab54c5177b1205414642ce95238ac5,,WETH,120.0,0
1594708339,Process Proposal,100000,0,0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68,,WETH,120.0,0
1594319608,Process Proposal,100000,0,0x2afb58a22e7d3c241ab7b9a1f68b9e8e74ec9d68,,WETH,120.0,0
1594319427,Process Proposal,100000,0,0xc4b000efc4c5622aa43065190bbf4b3ae133fd3f,,WETH,120.0,0
1593714563,Process Proposal,200000,0,0x03b8e0ab5505fad9c62c70806e8277b56d006937,,WETH,240.0,0
1593617573,Process Proposal,200000,0,0xd24ff5e32de12be154b1c2ee7b731cbc45540e50,,WETH,240.0,0
1592916024,Process Proposal,100000,0,0xbe255852c4301d6392fb1d65003b7a0e0ef6e6b0,,WETH,120.0,0
