Date,Type,Shares,Loot,Applicant,Title,Token,In,Out
1658251253,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Investment 31,USDC,0,500000000000
1658004728,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Treasury management move,RAI,0,71224655277111583510843
1656535359,Process Proposal,0,0,0x24ffa28f130dc7798b03d0209322c574d731e9cf,Sponsorship Proposal - MCON 2022,USDC,0,20000000000
1656469938,Tokens Collected,,,,,FLX,3329909916837777941518,0
1656469892,Process Proposal,0,0,0xa0dd8e6c5440a424cd19f5ec30f8fa485e814247,Activate FLX in treasury,FLX,500000000000000000,0
1655927370,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot vote 24,USDC,0,250000000000
1655927267,Process Proposal,0,0,0x691daea0c55a76fc2260857b48d5703f18d80e2b,MCV Sponsorship - DAO NYC,WETH,0,2500000000000000000
1655238526,Tokens Collected,,,,,WETH,10000000000000,0
1653589848,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot vote 25,WETH,0,50000000000000000000
1653498236,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Investment 27,WETH,0,125000000000000000000
1653498130,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Investment 26,WETH,0,200000000000000000000
1653498076,Process Proposal,53,0,0x3d0dd10fc11d3738eb6167b85c33062807feb090,Theresa Membership Proposal,WETH,10000000000000000000,0
1653498031,Process Proposal,53,0,0x968672a4b47be63a76efebccc80dde4829db151f,Lucas Membership Proposal,WETH,10000000000000000000,0
1653497930,Process Proposal,53,0,0xef8305e140ac520225daf050e2f71d5fbcc543e7,Fabien Membership Proposal,WETH,10000000000000000000,0
1652455284,Process Proposal,53,0,0x6159aaaf32d1ac8b4b96b1a9d7197aed612a59cb,"Yalor Mewn - Pledge ",WETH,10000000000000000000,0
1652385178,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Investment 23,WETH,0,100000000000000000000
1652192377,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Investment 22,WETH,0,55000000000000000000
1650365924,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Investment 19,WETH,0,75000000000000000000
1650303516,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Investment 18,WETH,0,5000000000000000000
1648215963,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot vote 17,WETH,0,20000000000000000000
1647580540,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot vote 16,WETH,0,40000000000000000000
1645667680,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot proposal 14,WETH,0,50000000000000000000
1645630359,Rage Quit,,,,,RAI,0,225818483895219664065
1645630359,Rage Quit,,,,,MCV33,0,264273474983881608
1645630359,Rage Quit,,,,,STAKE,0,2056
1645630359,Rage Quit,,,,,MCV27,0,264273474983881608
1645630359,Rage Quit,,,,,MCV39,0,271163758504342033
1645630359,Rage Quit,,,,,MCV18,0,264273474983881608
1645630359,Rage Quit,,,,,MCV10,0,256765626746846633
1645630359,Rage Quit,,,,,MCV24,0,264273474983881608
1645630359,Rage Quit,,,,,MCV19,0,264273474983881608
1645630359,Rage Quit,,,,,MCV38,0,271163758504342033
1645630359,Rage Quit,,,,,MCV05,0,256765626746846633
1645630359,Rage Quit,,,,,MCV35,0,267881624597766338
1645630359,Rage Quit,,,,,MCV31,0,264273474983881608
1645630359,Rage Quit,,,,,MCV32,0,264273474983881608
1645630359,Rage Quit,,,,,MCV15,0,263572434746772312
1645630359,Rage Quit,,,,,MCV12,0,261810171805063485
1645630359,Rage Quit,,,,,MCV34,0,264273474983881608
1645630359,Rage Quit,,,,,MCV26,0,264273474983881608
1645630359,Rage Quit,,,,,MCV20,0,264273474983881608
1645630359,Rage Quit,,,,,MCV17,0,264273474983881608
1645630359,Rage Quit,,,,,DAI,0,174037729277002874869
1645630359,Rage Quit,,,,,MCV06,0,256765626746846633
1645630359,Rage Quit,,,,,MCV11,0,256765626746846633
1645630359,Rage Quit,,,,,MCV37,0,271163758504342033
1645630359,Rage Quit,,,,,MCV36,0,271163758504342033
1645630359,Rage Quit,,,,,MCV22,0,264273474983881608
1645630359,Rage Quit,,,,,MCV29,0,264273474983881608
1645630359,Rage Quit,,,,,MCV07,0,256765626746846633
1645630359,Rage Quit,,,,,MCV30,0,264273474983881608
1645630359,Rage Quit,,,,,MCV03,0,256765626746846633
1645630359,Rage Quit,,,,,USDC,0,11941581520
1645630359,Rage Quit,,,,,MCV40,0,271163758504342033
1645630359,Rage Quit,,,,,WETH,0,9064388005072175440
1645630359,Rage Quit,,,,,MCV25,0,264273474983881608
1645630359,Rage Quit,,,,,MCV14,0,263572434746772312
1645630359,Rage Quit,,,,,MCV16,0,263572434746772312
1645630359,Rage Quit,,,,,MCV21,0,264273474983881608
1645630359,Rage Quit,,,,,MCV23,0,264273474983881608
1645630359,Rage Quit,,,,,MCV13,0,263572434746772312
1645630359,Rage Quit,,,,,MCV09,0,256765626746846633
1645630359,Rage Quit,,,,,MCV28,0,264273474983881608
1645630359,Rage Quit,,,,,MCV01,0,256765626746846633
1645630359,Rage Quit,,,,,MCV02,0,256765626746846633
1645630359,Rage Quit,,,,,MCV08,0,256765626746846633
1645630359,Rage Quit,,,,,MCV04,0,256765626746846633
1645582617,Tokens Collected,,,,,DAI,40625000000000000000000,0
1645582537,Tokens Collected,,,,,USDC,100000000000,0
1645020308,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Proposal 13,WETH,0,220000000000000000000
1645020162,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot proposal for 175K,WETH,0,80000000000000000000
1644676196,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Swap STAKE for GNO,STAKE,0,16679215100688747000000
1643730857,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,MCV swag,WETH,0,3000000000000000000
1643078576,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,250k for Snapshot proposal #8,WETH,0,90000000000000000000
1641952570,Tokens Collected,,,,,USDC,500000000000,0
1641931956,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot Investment 11,WETH,0,130000000000000000000
1641574658,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Snapshot proposal 10,WETH,0,13000000000000000000
1641398995,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,500K for Snapshot Proposal #9,WETH,0,150000000000000000000
1640939828,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Funding proposal #7.5,USDC,0,100000000000
1640939708,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,Diamond DAO,WETH,0,15870261000000000000
1640912030,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,350K for Snapshot proposal #7,WETH,0,80000000000000000000
1640906697,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,500K for Snapshot Proposal #6,WETH,0,123000000000000000000
1640894863,Rage Quit,,,,,RAI,0,1715467749324018714688
1640894863,Rage Quit,,,,,MCV33,0,2007597498294220620
1640894863,Rage Quit,,,,,STAKE,0,400454385858596067256
1640894863,Rage Quit,,,,,MCV27,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV39,0,2059940685437984984
1640894863,Rage Quit,,,,,MCV18,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV10,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV24,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV19,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV38,0,2059940685437984984
1640894863,Rage Quit,,,,,MCV05,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV35,0,2035007408194364949
1640894863,Rage Quit,,,,,MCV31,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV32,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV15,0,2002271929292980336
1640894863,Rage Quit,,,,,MCV12,0,1988884605145798943
1640894863,Rage Quit,,,,,MCV34,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV26,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV20,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV17,0,2007597498294220620
1640894863,Rage Quit,,,,,DAI,0,346733415586332948403
1640894863,Rage Quit,,,,,MCV06,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV11,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV37,0,2059940685437984984
1640894863,Rage Quit,,,,,MCV36,0,2059940685437984984
1640894863,Rage Quit,,,,,MCV22,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV29,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV07,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV30,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV03,0,1950562877853544922
1640894863,Rage Quit,,,,,USDC,0,78711621037
1640894863,Rage Quit,,,,,MCV40,0,2059940685437984984
1640894863,Rage Quit,,,,,WETH,0,90584333057432899421
1640894863,Rage Quit,,,,,MCV25,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV14,0,2002271929292980336
1640894863,Rage Quit,,,,,MCV16,0,2002271929292980336
1640894863,Rage Quit,,,,,MCV21,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV23,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV13,0,2002271929292980336
1640894863,Rage Quit,,,,,MCV09,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV28,0,2007597498294220620
1640894863,Rage Quit,,,,,MCV01,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV02,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV08,0,1950562877853544922
1640894863,Rage Quit,,,,,MCV04,0,1950562877853544922
1640894221,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,200K for Snapshot Proposal #5,WETH,0,55000000000000000000
1640722546,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,250K Investment in Snapshot #4,WETH,0,65000000000000000000
1637939565,Process Proposal,0,0,0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,MM Proposal,WETH,0,50000000000000000000
1636546692,Process Proposal,0,0,0xb3e8d332ef4730e6e6d37ba9885edd515506b19f,Eunathe Proposal,WETH,0,13000000000000000000
1636487237,Tokens Collected,,,,,USDC,91667000000,0
1636348474,Rage Quit,,,,,RAI,0,376364139825366106776
1636348474,Rage Quit,,,,,MCV33,0,440455791639802681
1636348474,Rage Quit,,,,,STAKE,0,87857478248924104268
1636348474,Rage Quit,,,,,MCV27,0,440455791639802681
1636348474,Rage Quit,,,,,MCV39,0,451939597507236723
1636348474,Rage Quit,,,,,MCV18,0,440455791639802681
1636348474,Rage Quit,,,,,MCV10,0,427942711244744388
1636348474,Rage Quit,,,,,MCV24,0,440455791639802681
1636348474,Rage Quit,,,,,MCV19,0,440455791639802681
1636348474,Rage Quit,,,,,MCV38,0,451939597507236723
1636348474,Rage Quit,,,,,MCV05,0,427942711244744388
1636348474,Rage Quit,,,,,MCV35,0,446469374329610563
1636348474,Rage Quit,,,,,MCV31,0,440455791639802681
1636348474,Rage Quit,,,,,MCV32,0,440455791639802681
1636348474,Rage Quit,,,,,MCV15,0,439287391244620521
1636348474,Rage Quit,,,,,MCV12,0,436350286341772475
1636348474,Rage Quit,,,,,MCV34,0,440455791639802681
1636348474,Rage Quit,,,,,MCV26,0,440455791639802681
1636348474,Rage Quit,,,,,MCV20,0,440455791639802681
1636348474,Rage Quit,,,,,MCV17,0,440455791639802681
1636348474,Rage Quit,,,,,DAI,0,76071394380503060202
1636348474,Rage Quit,,,,,MCV06,0,427942711244744388
1636348474,Rage Quit,,,,,MCV11,0,427942711244744388
1636348474,Rage Quit,,,,,MCV37,0,451939597507236723
1636348474,Rage Quit,,,,,MCV36,0,451939597507236723
1636348474,Rage Quit,,,,,MCV22,0,440455791639802681
1636348474,Rage Quit,,,,,MCV29,0,440455791639802681
1636348474,Rage Quit,,,,,MCV07,0,427942711244744388
1636348474,Rage Quit,,,,,MCV30,0,440455791639802681
1636348474,Rage Quit,,,,,MCV03,0,427942711244744388
1636348474,Rage Quit,,,,,USDC,0,16797361264
1636348474,Rage Quit,,,,,MCV40,0,451939597507236723
1636348474,Rage Quit,,,,,WETH,0,20815050195551673113
1636348474,Rage Quit,,,,,MCV25,0,440455791639802681
1636348474,Rage Quit,,,,,MCV14,0,439287391244620521
1636348474,Rage Quit,,,,,MCV16,0,439287391244620521
1636348474,Rage Quit,,,,,MCV21,0,440455791639802681
1636348474,Rage Quit,,,,,MCV23,0,440455791639802681
1636348474,Rage Quit,,,,,MCV13,0,439287391244620521
1636348474,Rage Quit,,,,,MCV09,0,427942711244744388
1636348474,Rage Quit,,,,,MCV28,0,440455791639802681
1636348474,Rage Quit,,,,,MCV01,0,427942711244744388
1636348474,Rage Quit,,,,,MCV02,0,427942711244744388
